Time - Plot 0,Amplitude - Plot 0
2384977,-0.00309344
2384978,-0.000547095
2384979,-0.000547095
2384980,-0.000547095
2384981,-0.00182027
2384982,-0.00182027
2384983,-0.00182027
2384984,-0.000547095
2384985,-0.00182027
2384986,0.00199925
2384987,-0.00182027
2384988,0.00327242
2384989,0.00199925
2384990,0.00199925
2384991,0.00327242
2384992,0.00199925
2384993,-0.00182027
2384994,0.000726075
2384995,-0.00182027
2384996,0.00199925
2384997,-0.00182027
2384998,0.000726075
2384999,-0.00182027
2385000,-0.00182027
2385001,-0.000547095
2385002,-0.000547095
2385003,-0.000547095
2385004,-0.000547095
2385005,-0.00436661
2385006,-0.000547095
2385007,-0.00436661
2385008,-0.000547095
2385009,-0.00436661
2385010,-0.00436661
2385011,-0.00436661
2385012,-0.00309344
2385013,-0.000547095
2385014,-0.00436661
2385015,-0.000547095
2385016,-0.00309344
2385017,-0.000547095
2385018,0.000726075
2385019,-0.000547095
2385020,-0.000547095
2385021,0.00327242
2385022,-0.00182027
2385023,0.00327242
2385024,-0.00182027
2385025,0.000726075
2385026,0.00199925
2385027,0.00327242
2385028,0.00199925
2385029,0.00199925
2385030,0.000726075
2385031,-0.00182027
2385032,0.00199925
2385033,-0.00182027
2385034,-0.000547095
2385035,-0.000547095
2385036,-0.000547095
2385037,-0.000547095
2385038,-0.00182027
2385039,-0.00436661
2385040,-0.00182027
2385041,-0.00436661
2385042,-0.00182027
2385043,-0.00436661
2385044,-0.00309344
2385045,-0.00309344
2385046,-0.00436661
2385047,-0.00309344
2385048,-0.00309344
2385049,-0.000547095
2385050,-0.00436661
2385051,-0.00182027
2385052,-0.00436661
2385053,-0.00182027
2385054,-0.00182027
2385055,0.000726075
2385056,-0.000547095
2385057,-0.00182027
2385058,-0.000547095
2385059,0.00199925
2385060,-0.000547095
2385061,0.00199925
2385062,0.00199925
2385063,0.000726075
2385064,0.00199925
2385065,-0.000547095
2385066,0.00199925
2385067,-0.000547095
2385068,0.00199925
2385069,-0.000547095
2385070,-0.00182027
2385071,-0.00309344
2385072,-0.00182027
2385073,-0.00309344
2385074,-0.000547095
2385075,-0.00563978
2385076,-0.000547095
2385077,-0.00436661
2385078,-0.00436661
2385079,-0.00436661
2385080,-0.00309344
2385081,-0.00309344
2385082,-0.00309344
2385083,-0.00182027
2385084,-0.00309344
2385085,-0.000547095
2385086,-0.00309344
2385087,-0.000547095
2385088,-0.00182027
2385089,-0.00182027
2385090,-0.000547095
2385091,-0.000547095
2385092,0.00327242
2385093,-0.000547095
2385094,0.000726075
